,slurm_id,N,D,O,epochs,lr,dset,loss,seed,reservoir_seed
0,13,100,10,1,100,0.001,data/rsg_tl100_s30.pkl,3.607258551120758,169064689,0
1,8,100,10,1,100,0.001,data/rsg_tl100_s20.pkl,2.8430982279777526,270106401,1
2,63,100,50,1,100,0.001,data/rsg_tl100_s30.pkl,1.4550907552242278,113325688,0
3,57,100,50,1,100,0.01,data/rsg_tl100_s30.pkl,1.0290517485141757,701272137,0
4,12,100,10,1,100,0.01,data/rsg_tl100_s30.pkl,1.7186137092113496,542194985,1
5,64,100,50,1,100,0.001,data/rsg_tl100_s30.pkl,2.563219604492188,729198491,1
6,58,100,50,1,100,0.01,data/rsg_tl100_s30.pkl,1.3399010050296782,527850037,1
7,60,100,50,1,100,0.01,data/rsg_tl100_s30.pkl,1.394970576763153,460081447,1
8,9,100,10,1,100,0.01,data/rsg_tl100_s30.pkl,2.6097528648376467,430639609,0
9,61,100,50,1,100,0.001,data/rsg_tl100_s30.pkl,2.0116770815849305,409867624,0
10,59,100,50,1,100,0.01,data/rsg_tl100_s30.pkl,1.0448502218723297,175793144,0
11,10,100,10,1,100,0.01,data/rsg_tl100_s30.pkl,2.5150033521652215,443668339,1
12,62,100,50,1,100,0.001,data/rsg_tl100_s30.pkl,2.3063881540298463,230043997,1
13,14,100,10,1,100,0.001,data/rsg_tl100_s30.pkl,3.0190978169441225,522787133,1
14,15,100,10,1,100,0.001,data/rsg_tl100_s30.pkl,3.7540750312805176,539392113,0
15,11,100,10,1,100,0.01,data/rsg_tl100_s30.pkl,2.397397749423981,463394887,0
16,16,100,10,1,100,0.001,data/rsg_tl100_s30.pkl,2.7877738904952998,698005342,1
17,55,100,50,1,100,0.001,data/rsg_tl100_s20.pkl,1.3204937720298766,935289470,0
18,53,100,50,1,100,0.001,data/rsg_tl100_s20.pkl,1.2323079693317414,241722321,0
19,56,100,50,1,100,0.001,data/rsg_tl100_s20.pkl,1.5964978170394897,429510466,1
20,52,100,50,1,100,0.01,data/rsg_tl100_s20.pkl,0.4342294681072235,360137483,1
21,54,100,50,1,100,0.001,data/rsg_tl100_s20.pkl,1.234822371006012,924628754,1
22,108,100,100,1,100,0.01,data/rsg_tl100_s30.pkl,1.0489301073551178,700886792,1
